Order ID,Order Date,Region,State,Segment,Category,Sub-Category,Ship Mode,Quantity,Discount,Sales,Profit
US-1001,02-07-2024,South,North Carolina,Consumer,Office Supplies,Paper,Standard Class,2,0.0,82.33,1.31
US-1002,18-07-2024,South,Florida,Consumer,Furniture,Furnishings,Standard Class,7,0.0,1318.1,16.06
US-1003,24-10-2023,East,New York,Consumer,Technology,Copiers,Second Class,7,0.0,2323.52,239.04
US-1004,31-07-2024,Central,Texas,Home Office,Furniture,Tables,Standard Class,1,0.3,314.28,-1.41
US-1005,04-07-2023,South,Georgia,Corporate,Office Supplies,Labels,Second Class,4,0.3,123.79,18.58
US-1006,08-06-2024,Central,Michigan,Consumer,Technology,Copiers,Standard Class,7,0.4,2375.7,410.96
US-1007,31-08-2024,Central,Illinois,Home Office,Furniture,Chairs,First Class,8,0.2,2443.81,35.51
US-1008,24-10-2024,East,New Jersey,Home Office,Office Supplies,Binders,First Class,8,0.0,305.96,65.25
US-1009,02-03-2023,West,Oregon,Consumer,Office Supplies,Storage,Same Day,4,0.4,222.63,27.08
US-1010,21-05-2023,West,Washington,Corporate,Office Supplies,Binders,First Class,7,0.3,413.72,76.9
US-1011,04-06-2023,West,California,Consumer,Technology,Copiers,Second Class,4,0.0,2068.26,132.27
US-1012,16-09-2024,East,New York,Corporate,Office Supplies,Storage,First Class,6,0.0,373.87,132.1
US-1013,17-04-2023,South,Georgia,Corporate,Office Supplies,Labels,Same Day,8,0.1,406.68,43.78
US-1014,15-04-2023,East,Pennsylvania,Home Office,Office Supplies,Paper,Standard Class,1,0.0,48.4,0.74
US-1015,22-12-2023,South,Florida,Home Office,Furniture,Tables,First Class,6,0.5,1690.1,8.67
US-1016,17-12-2023,Central,Texas,Consumer,Office Supplies,Art,Standard Class,5,0.1,226.15,76.99
US-1017,24-06-2024,West,Oregon,Home Office,Technology,Accessories,Standard Class,5,0.2,3161.3,1098.85
US-1018,13-10-2024,West,Washington,Consumer,Technology,Accessories,First Class,4,0.1,2003.05,641.96
US-1019,31-12-2023,West,California,Home Office,Furniture,Furnishings,Same Day,1,0.1,397.66,4.73
US-1020,24-03-2023,South,North Carolina,Corporate,Technology,Accessories,First Class,4,0.5,1267.11,275.13
US-1021,07-11-2024,South,North Carolina,Corporate,Technology,Phones,Standard Class,2,0.5,1215.04,382.62
US-1022,19-04-2024,Central,Texas,Home Office,Furniture,Furnishings,Same Day,7,0.0,2395.78,18.1
US-1023,04-11-2024,South,North Carolina,Consumer,Furniture,Tables,Same Day,6,0.0,1260.48,27.98
US-1024,15-09-2023,South,Florida,Consumer,Technology,Machines,Standard Class,4,0.2,1541.87,215.36
US-1025,14-04-2024,West,California,Home Office,Technology,Copiers,First Class,7,0.0,4044.39,1437.02
US-1026,03-06-2023,South,Florida,Home Office,Technology,Phones,Standard Class,3,0.0,992.88,266.57
US-1027,12-09-2023,South,Florida,Home Office,Office Supplies,Labels,Standard Class,4,0.0,151.88,54.4
US-1028,10-12-2024,Central,Michigan,Home Office,Furniture,Furnishings,Second Class,5,0.1,1383.89,23.27
US-1029,05-05-2023,West,Washington,Consumer,Technology,Accessories,Same Day,7,0.0,3074.14,272.88
US-1030,27-05-2023,East,New York,Home Office,Furniture,Bookcases,First Class,5,0.0,1868.19,62.14
US-1031,24-12-2024,West,Oregon,Consumer,Office Supplies,Art,Second Class,7,0.3,446.51,106.92
US-1032,27-03-2024,Central,Texas,Corporate,Office Supplies,Binders,Same Day,1,0.0,41.84,8.18
US-1033,10-02-2023,East,New York,Corporate,Furniture,Tables,First Class,3,0.2,707.55,0.66
US-1034,13-10-2023,South,North Carolina,Corporate,Office Supplies,Paper,Standard Class,1,0.2,56.79,-4.29
US-1035,10-03-2023,Central,Texas,Home Office,Furniture,Chairs,Second Class,5,0.4,1845.62,31.11
US-1036,23-04-2023,West,California,Home Office,Office Supplies,Labels,Second Class,3,0.2,112.28,3.99
US-1037,05-10-2023,Central,Illinois,Home Office,Technology,Machines,Second Class,6,0.0,3415.95,1345.96
US-1038,05-11-2024,South,Florida,Corporate,Technology,Machines,Standard Class,7,0.2,3614.4,876.35
US-1039,19-02-2024,West,Washington,Consumer,Technology,Machines,Second Class,6,0.2,3800.86,1300.46
US-1040,02-06-2024,East,New York,Home Office,Office Supplies,Paper,Same Day,5,0.0,247.78,92.22
US-1041,03-12-2023,South,Florida,Corporate,Furniture,Bookcases,First Class,6,0.3,1380.0,43.62
US-1042,13-10-2023,Central,Illinois,Consumer,Furniture,Chairs,Same Day,4,0.0,923.36,25.68
US-1043,08-11-2023,East,Pennsylvania,Consumer,Furniture,Furnishings,First Class,4,0.0,776.03,14.15
US-1044,18-10-2023,Central,Michigan,Corporate,Technology,Copiers,Second Class,3,0.4,887.29,289.76
US-1045,29-03-2023,East,New Jersey,Home Office,Technology,Machines,Second Class,1,0.4,295.07,67.12
US-1046,16-05-2024,East,New Jersey,Consumer,Office Supplies,Labels,Second Class,5,0.0,140.6,47.69
US-1047,29-08-2023,South,Georgia,Consumer,Technology,Phones,First Class,4,0.4,1452.26,400.42
US-1048,21-03-2023,Central,Texas,Home Office,Furniture,Furnishings,Second Class,3,0.0,748.95,8.74
US-1049,09-12-2024,East,Pennsylvania,Corporate,Furniture,Furnishings,Standard Class,4,0.5,1308.14,11.52
US-1050,29-03-2023,East,New Jersey,Consumer,Office Supplies,Art,First Class,8,0.5,229.04,51.09
US-1051,26-05-2023,West,California,Consumer,Office Supplies,Art,Standard Class,5,0.2,311.49,31.21
US-1052,26-01-2023,West,Washington,Corporate,Furniture,Bookcases,Same Day,3,0.2,527.42,4.18
US-1053,04-05-2023,South,Georgia,Corporate,Technology,Machines,First Class,6,0.0,1683.76,515.68
US-1054,07-02-2024,Central,Illinois,Corporate,Furniture,Chairs,Standard Class,7,0.4,2798.1,60.84
US-1055,12-10-2024,Central,Texas,Consumer,Office Supplies,Binders,First Class,3,0.1,110.93,14.03
US-1056,24-03-2023,East,New Jersey,Corporate,Office Supplies,Art,Second Class,1,0.0,61.6,6.58
US-1057,24-06-2023,South,Florida,Home Office,Technology,Accessories,Second Class,8,0.2,3434.82,542.22
US-1058,03-05-2023,Central,Illinois,Home Office,Office Supplies,Paper,Same Day,3,0.5,153.47,10.23
US-1059,23-05-2023,South,Georgia,Corporate,Technology,Machines,Same Day,4,0.3,1471.48,173.61
US-1060,27-02-2024,Central,Michigan,Consumer,Furniture,Bookcases,Standard Class,7,0.3,1876.87,35.12
US-1061,04-12-2024,Central,Michigan,Corporate,Furniture,Furnishings,Second Class,4,0.5,783.34,20.01
US-1062,27-12-2024,East,New York,Consumer,Office Supplies,Storage,Same Day,8,0.5,502.87,144.6
